LCSC,Manufacturer,Mpn,Description
C173502,MDD(Microdiode Semiconductor),SMAJ48A,-65℃~+150℃ 1uA 400W@10/1000us 48V 5.2A@10/1000us 58.9V 77.4V TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS
C1973855,STMicroelectronics,SMAJ48A-TR,-55℃~+150℃ 100V 1uA 23A@8/20us 400W 48V 56.1V IEC 61000-4-2、IEC 61000-4-5 TVS Unidirectional SMA(DO-214AC) ESD and Surge Protection (TVS/ESD) ROHS
C1976142,Vishay Intertech,SMCJ6.0A-E3/57T,-55℃~+150℃ 1.5kW@10/1000us 10.3V 145.6A 1mA 6.67V 6V TVS Unidirectional SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS
C343998,BORN,PESD5V0S2BT,120pF 16V 2 20A 300W@8/20us 500nA 5V 6V ESD IEC 61000-4-2、IEC 61000-4-5、IEC 61000-4-4 SOT-23 ESD and Surge Protection (TVS/ESD) ROHS
C3760872,Littelfuse,RXEF110,-40℃~+85℃ 1.1A 1.5W 150mΩ 2.2A 380mΩ 40A 72V 8.2s Plugin Resettable Fuses ROHS
C144394,JST,B3B-XH-A(LF)(SN),"-25℃~+85℃ 1 1x3P 2.5mm 250V 3 3A 3P 5.75mm 7mm 9.9mm Brass K Pin PA66 Through Hole Tin UL94V-0 White XH 插件,P=2.5mm Wire To Board Connector ROHS"
C20079,BOOMELE(Boom Precision Elec),XH-2A,"1 1x2P 2 2.5mm 2P 5.8mm 7mm Through Hole White XH Plugin, P=2.5mm Wire To Board Connector ROHS"
C57141,BOOMELE(Boom Precision Elec),XH-2AYellow,"-25℃~+85℃ 1 1x2P 2 2.5mm 250V 2P 3A 5.8mm 7.5mm 7mm Through Hole XH Yellow Plugin, P=2.5mm Wire To Board Connector ROHS"
C24192,BOOMELE(Boom Precision Elec),XH-2ARed,"-25℃~+85℃ 1 1x2P 2 2.5mm 250V 2P 3A 5.8mm 7.5mm 7mm Red Through Hole XH Plugin, P=2.5mm Wire To Board Connector ROHS"
C2316,BOOMELE(Boom Precision Elec),XH-3A,"1 10mm 1x3P 2.5mm 3 3P 5.8mm 7mm Through Hole White XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C37815,BOOMELE(Boom Precision Elec),XH-4A,"1 12.5mm 1x4P 2.5mm 4 4P 5.8mm 7mm Through Hole White XH Plugin, P=2.5mm Wire To Board Connector ROHS"
C68117,BOOMELE(Boom Precision Elec),XH-4A Yellow,"1 1x4P 2.5mm 4 4P Through Hole XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C192885,BOOMELE(Boom Precision Elec),XH-4AGreen,"1 1x4P 2.5mm 4 4P Through Hole XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C57846,BOOMELE(Boom Precision Elec),XH-4ABlack,"-25℃~+85℃ 1 12.5mm 1x4P 2.5mm 250V 3A 4 4P 5.8mm 7mm Black Through Hole XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C2318,BOOMELE(Boom Precision Elec),XH-5A,"1 15mm 1x5P 2.5mm 5 5.8mm 5P 7mm Through Hole White XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C57142,BOOMELE(Boom Precision Elec),XH-5ABlue,"-25℃~+85℃ 1 15mm 1x5P 2.5mm 250V 3A 5 5.8mm 5P 7mm Blue Through Hole XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C5663,BOOMELE(Boom Precision Elec),XH-6A,"1 17.5mm 1x6P 2.5mm 5.8mm 6 6P 7mm Through Hole White XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C33435,BOOMELE(Boom Precision Elec),XH-9A,"1 1x9P 2.5mm 25mm 5.8mm 7mm 9 9P Through Hole White XH Plugin,P=2.5mm Wire To Board Connector ROHS"
C16728,BOOMELE(Boom Precision Elec),VH-2A,"-25℃~+85℃ 1 1x2P 2 250V 2P 3.96mm 5A Beige Brass PA66 Through Hole Tin UL94V-0 VH Plugin,P=3.96mm Wire To Board Connector ROHS"
C8884,BOOMELE(Boom Precision Elec),VH-4A,"-25℃~+85℃ 1 14mm 15.84mm 1x4P 250V 3.96mm 4 4P 5A Brass PA66 Through Hole Tin UL94V-0 VH White Plugin,P=3.96mm Wire To Board Connector ROHS"
C21473,BOOMELE(Boom Precision Elec),VH-6A,"-25℃~+85℃ 1 1x6P 250V 3.96mm 5A 6 6P Beige Brass PA66 Through Hole Tin UL94V-0 VH Plugin,P=3.96mm Wire To Board Connector ROHS"
C48946905,UMAX,PCIE-G4071141D,42P 64P 7.4mm Clamping plate PCI-E 4.0 PCI-E x4 With post SMD PCI / PCIe Connector ROHS
C2718488,BOOMELE(Boom Precision Elec),2.54-1*4PFemale,"-40℃~+105℃ 1 1x4P 2.54mm 3A 4P Bronze Square Hole Through Hole Top Plugin,P=2.54mm Female Headers ROHS"
C189677,HANRUN(Zhongshan HanRun Elec),HR981190C,Non-PoE RJ45 Jack Right Angle Shielded With Contact Spring With LED Plugin Ethernet Connectors / Modular Connectors (RJ45 RJ11) ROHS
C8410,Ningbo Kangnex Elec,WJ15EDGVC-3.81-04P-14-00A,"-40℃~+105℃ 1 1x4P 3.81mm 300V 4 4P 8A Board Side/Socket - Closed Green Hinged (Snap On) Through Hole Plugin,P=3.81mm Pluggable System Terminal Block ROHS"
C601978,JILN,331010SG0ABLA02,"-40℃~+105℃ 2 2.54mm 2.54mm 2x5P 3A 5 Black Brass Gold IDC Header Through Hole Plugin,P=2.54mm IDC Connectors ROHS"
C135264,SXN(Shun Xiang Nuo Elec),SMNR4030-220MT,"1.3A 1.3A 22uH 290mΩ Magnetic Shielded Inductor ±20% SMD, 4x4mm Power Inductors ROHS"
C49073771,COILANK INTERNATIONAL,AAPS0650M4R7H,"10A 30.8mΩ 4.7uH 6.5A ±20% SMD,6.6x6.4mm Power Inductors ROHS"
C252941,INGHAi,GMD12095YB-5V2400,"-20℃~+70℃ 12mm 2.4kHz 30mA 3V~7V 5V 7.6mm 85dB 9.5mm Active Buzzer (Built-in Driving Circuit) Electromagnetic Through-hole Plugin,D=12mm Buzzers ROHS"
C21791,Infineon Technologies,IRF7341TRPBF,-55℃~+150℃ 1V 2 N-Channel 2W 36nC 4.7A 50mΩ@10V 55V 71pF 740pF N-Channel SO-8 MOSFETs ROHS
C695267,TOSHIBA,"TK110P10PL,RQ(S2",1 N-channel 1.5V、2.5V 100V 2.04nF 22pF 310pF 33nC@10V 40A 75W 8.9mΩ@10V N-Channel TO-252-2(DPAK) MOSFETs ROHS
C141723,TAI-TECH,FCM1608KF-601T03,-55℃~+125℃ 1 350mA 500mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS
C133937,TAI-TECH,FCM1608KF-601T05,1 500mA 500mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS
C466988,Vishay Intertech,SI1902CDL-T1-GE3,-55℃~+150℃ 1.1A 1.5V 2 N-Channel 20V 20pF 235mΩ@4.5V 420mW 62pF 7pF 900pC@4.5V N-Channel SC-70-6 MOSFETs ROHS
C82045,onsemi,BSS138LT1G,-55℃~+150℃ 1 N-channel 200mA 225mW 5.6Ω@2.75V 500mV 50V 50pF 5pF SOT-23 MOSFETs ROHS
C844719,Vishay Intertech,CRCW06030000Z0EAHP,-55℃~+155℃ 0Ω 333mW 75V Thick Film Resistor 0603 Chip Resistor - Surface Mount ROHS
C185338,YAGEO,RC0603FR-0733K2L,-55℃~+155℃ 100mW 33.2kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C14675,YAGEO,RC0603FR-07100KL,-55℃~+155℃ 100kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C861775,YAGEO,RT0603BRE0724K9L,-55℃~+155℃ 100mW 24.9kΩ 75V Thin Film Resistor ±0.1% ±50ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C110776,YAGEO,RT0603BRD071KL,-55℃~+155℃ 100mW 1kΩ 75V Thin Film Resistor ±0.1% ±25ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C138048,YAGEO,RC0402FR-07174KL,-55℃~+155℃ 174kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C295873,YAGEO,RC0402FR-07118KL,-55℃~+155℃ 118kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C852648,YAGEO,RT0402BRD0722K1L,-55℃~+155℃ 22.1kΩ 50V 62.5mW Thin Film Resistor ±0.1% ±25ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
