"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"C74","Samsung Electro-Mechanics","CL05A105KA5NQNC","true","Top","103.8","57.5","0"
"C75","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","97.75","59.3","90"
"C76","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","101.9","50.375","90.01"
"C77","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","95.5","50.375","90.01"
"C78","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Top","103.8","48.125","90"
"C79","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","196.5","86.2","90"
"C80","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","196.5","106.75","90"
"C81","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","95.65","46.875","180"
"C82","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","201.9","84.95","-90"
"C83","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","201.9","105.5","-90"
"C84","Samsung Electro-Mechanics","CL05B472KC5VPNC","true","Top","201.9","108","-90"
"C85","Samsung Electro-Mechanics","CL05B472KC5VPNC","true","Top","201.9","87.45","-90"
"C86","Samsung Electro-Mechanics","CL10B105KA8NNNC","true","Top","144.75","27.4","0"
"C87","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","144.75","25.8","0"
"C88","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","125.5","89.5","0"
"C89","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","105.5","90.2","0"
"C90","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","63.975","77.75","180"
"C91","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Top","65.575","77.975","90"
"C92","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","37.55","103.55","180"
"C93","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","19","103.55","180"
"C94","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","65.5","71.65","90"
"C95","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","65.1","79.9","180"
"C96","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","74.6","79.2","-90"
"C97","Samsung Electro-Mechanics","CL10A106MA8NRNC","true","Top","75.8","79.2","-90"
"C98","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","172.3","93.2","0.01"
"C99","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","175.15","93.2","0.01"
"C100","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","102","102.75","90"
"C101","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","107.75","97.5","0"
"C102","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","116.25","98.75","-90"
"C103","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","102","98.75","-90"
"C104","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","178","93.2","0.01"
"C105","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","116.25","102.75","90"
"C106","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","103.5","98.75","-90"
"C107","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","117.75","98.75","-90"
"C108","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","180.85","93.2","0.01"
"C109","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","103.5","102.75","90"
"C110","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","117.75","102.75","90"
"C111","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","180.85","100.3","0.01"
"C112","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","178","100.3","0.01"
"C113","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","186.5","24.5","90"
"C114","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","175.15","100.3","0.01"
"C115","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","181","24.5","90"
"C116","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","172.3","100.3","0.01"
"C117","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","186","18.4","-90"
"C118","Samsung Electro-Mechanics","CL10B103KB8NNNC","true","Top","188.8","18.4","-90"
"C119","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","196","18.15","-90"
"C120","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","54.45","112.3","90"
"C121","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","104.5","112.3","90"
"C122","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","154.5","112.3","90"
"C123","Samsung Electro-Mechanics","CL05B104KA5NNNC","true","Top","204.5","112.3","90"
"C124","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","155.75","78.25","180"
"C125","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","155.75","67.5","180"
"C126","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","164.35","91.75","0"
"C127","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","168.85","91.75","180"
"C128","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","207.2","43","180"
"C129","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","191.55","43","180"
"C130","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","175.95","43","180"
"C131","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","160.35","43","180"
"C132","Samsung Electro-Mechanics","CL10B104KC8NNNC","true","Top","144.7","43","180"
"D1","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","44.2","41.05","180"
"D2","Foshan NationStar Optoelectronics","NCD0603R5","true","Top","67","52.95","180"
"D3","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","55.9","58.45","90"
"D4","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","58.75","41.05","180"
"D5","Foshan NationStar Optoelectronics","NCD0603G1","true","Top","55.9","83.4","90"
"D6","Foshan NationStar Optoelectronics","NCD0603W1","true","Top","20.9","22.85","-90"
"D7","MDD(Microdiode Semiconductor)","SS14","true","Top","101","20.8","0"
"D8","MDD(Microdiode Semiconductor)","SS14","true","Top","93.5","20.8","180"
"D9","MDD(Microdiode Semiconductor)","SS14","true","Top","85.4","22.55","90"
"D10","MDD(Microdiode Semiconductor)","SS14","true","Top","81.4","22.55","90.01"
"D11","MDD(Microdiode Semiconductor)","SS14","true","Top","77.4","22.55","90"
"D12","MDD(Microdiode Semiconductor)","SS14","true","Top","73.4","22.55","90.01"
"D13","MDD(Microdiode Semiconductor)","SS14","true","Top","69.4","22.55","90"
"D14","MDD(Microdiode Semiconductor)","SS310","true","Top","34.15","82.1","-90"
"D15","MDD(Microdiode Semiconductor)","SS310","true","Top","34.197","57.1","-90"
"D16","MDD(Microdiode Semiconductor)","SS14","true","Top","65.4","22.55","90.01"
"D17","MDD(Microdiode Semiconductor)","SS310","true","Top","34.15","89.35","90"
"D18","MDD(Microdiode Semiconductor)","SS310","true","Top","34.197","64.35","90"
"D19","Foshan NationStar Optoelectronics","NCD0603R5","true","Top","198.575","103.675","180"
"D20","MDD(Microdiode Semiconductor)","SS14","true","Top","195.75","69","0"
"D21","MDD(Microdiode Semiconductor)","SS14","true","Top","203.25","69","180"
"E1","MDD(Microdiode Semiconductor)","SMAJ7.0A","true","Top","22.2","18.35","180"
"E2","MDD(Microdiode Semiconductor)","SMAJ5.0A","true","Top","54.25","20.55","-179.99"
"E3","MDD(Microdiode Semiconductor)","SMAJ5.0A","true","Top","39.7","20.55","180"
"E4","MDD(Microdiode Semiconductor)","SMAJ24A","true","Top","24.05","27.4","180"
"E5","STMicroelectronics","SMAJ48A-TR","true","Top","33.4","48.1","90"
"E6","STMicroelectronics","SMAJ48A-TR","true","Top","33.4","73.1","90"
"E7","Vishay Intertech","SMCJ6.0A-E3/57T","true","Top","204.9","21.8","180"
"E8","MDD(Microdiode Semiconductor)","SMAJ12A","true","Top","46.9","48.85","90"
"E9","MDD(Microdiode Semiconductor)","SMAJ12A","true","Top","46.9","73.85","90"
"E10","MDD(Microdiode Semiconductor)","SMAJ5.0A","true","Top","51.85","50.6","180"
"E11","MDD(Microdiode Semiconductor)","SMAJ5.0A","true","Top","51.85","75.6","180"
"E12","BORN","PESD5V0S2BT","true","Top","164.5","88.5","180"
"E13","BORN","PESD5V0S2BT","true","Top","172","88.5","180"
"E14","BORN","PESD5V0S2BT","true","Top","183.25","88.5","180"
"E15","BORN","PESD5V0S2BT","true","Top","190.75","88.5","180"
"F1","Littelfuse","RXEF110","true","Top","102.75","26.8","90"
"F2","Littelfuse","RXEF110","true","Top","91.75","26.8","90"
"F3","Littelfuse","RXEF110","true","Top","85.9","31.05","90.01"
"F4","Littelfuse","RXEF110","true","Top","81.9","31.05","90.01"
"F5","Littelfuse","RXEF110","true","Top","77.9","31.05","90.01"
"F6","Littelfuse","RXEF110","true","Top","73.9","31.05","90.01"
"F7","Littelfuse","RXEF110","true","Top","69.9","31.05","90.01"
"F8","Littelfuse","RXEF110","true","Top","26.297","57.1","0"
"F9","Littelfuse","RXEF110","true","Top","26.25","82.1","0"
"F10","Littelfuse","RXEF110","true","Top","65.9","31.05","90.01"
"F11","Littelfuse","RXEF110","true","Top","26.25","89.35","0"
"F12","Littelfuse","RXEF110","true","Top","26.297","64.35","0"
"J1","BOOMELE(Boom Precision Elec)","XH-3A","true","Top","26.4","12.875","180"
"J2","BOOMELE(Boom Precision Elec)","XH-4AGreen","true","Top","12.875","106.15","90"
"J3","BOOMELE(Boom Precision Elec)","VH-6A","true","Top","14.4","79.6","-90"
"J4","BOOMELE(Boom Precision Elec)","VH-6A","true","Top","14.447","54.6","-90"
"J5","BOOMELE(Boom Precision Elec)","VH-4A","true","Top","14.45","33.25","-89.99"
"J6","UMAX","PCIE-G4071141D","true","Top","35","121.85","180"
"J7","BOOMELE(Boom Precision Elec)","VH-2A","true","Top","39.7","14.25","0"
"J8","BOOMELE(Boom Precision Elec)","VH-4A","true","Top","54.5","14.25","0"
"J9","BOOMELE(Boom Precision Elec)","VH-6A","true","Top","75.95","14.25","0.01"
"J10","UMAX","PCIE-G4071141D","true","Top","85","121.85","180"
"J11","BOOMELE(Boom Precision Elec)","VH-4A","true","Top","97.25","14.25","0"
"J12","BOOMELE(Boom Precision Elec)","2.54-1*4PFemale","true","Top","117.64","39.95","180"
"J13","HANRUN(Zhongshan HanRun Elec)","HR981190C","true","Top","117.45","23.35","0"
"J14","Samtec","FTSH-105-01-L-DV-K-P-TR","true","Top","121.85","55.05","0"
"J15","UMAX","PCIE-G4071141D","true","Top","135","121.85","180"
"J16","BOOMELE(Boom Precision Elec)","XH-6A","true","Top","136.65","12.875","180"
"J17","BOOMELE(Boom Precision Elec)","XH-4ABlack","true","Top","121.85","46.425","0"
"J18","Ningbo Kangnex Elec","WJ15EDGVC-3.81-04P-14-00A","true","Top","154.365","14","0"
"J19","Ningbo Kangnex Elec","WJ15EDGVC-3.81-04P-14-00A","true","Top","170.615","14","0"
"J20","BOOMELE(Boom Precision Elec)","XH-6A","true","Top","199.75","30.025","0.01"
"J21","BOOMELE(Boom Precision Elec)","XH-4A Yellow","true","Top","186.25","12.875","180"
"J22","BOOMELE(Boom Precision Elec)","XH-2AYellow","true","Top","183.75","30.025","0"
"J23","UMAX","PCIE-G4071141D","true","Top","185","121.85","180"
"J24","BOOMELE(Boom Precision Elec)","XH-2ARed","true","Top","197.5","12.875","180"
"J25","BOOMELE(Boom Precision Elec)","XH-9A","true","Top","143.5","55.024","0"
"J26","BOOMELE(Boom Precision Elec)","XH-9A","true","Top","143.5","39.024","0"
"J27","BOOMELE(Boom Precision Elec)","XH-9A","true","Top","169.75","55.024","0"
"J28","BOOMELE(Boom Precision Elec)","XH-9A","true","Top","169.75","39.025","0"
"J29","JILN","331010SG0ABLA02","true","Top","175.58","74.035","0"
"J30","JILN","331010SG0ABLA02","true","Top","175.58","64.035","0"
"J31","BOOMELE(Boom Precision Elec)","XH-6A","true","Top","168.25","83.475","180"
"J32","BOOMELE(Boom Precision Elec)","XH-3A","true","Top","206.775","105.5","-90"
"J33","BOOMELE(Boom Precision Elec)","2.54-1*4PFemale","true","Top","200.575","95.885","90"
"J34","BOOMELE(Boom Precision Elec)","XH-3A","true","Top","206.775","86.2","-90"
"J35","BOOMELE(Boom Precision Elec)","XH-9A","true","Top","196","55.024","0"
"J36","BOOMELE(Boom Precision Elec)","XH-9A","true","Top","196","39.024","0"
"J37","BOOMELE(Boom Precision Elec)","XH-5ABlue","true","Top","200.25","73.975","180"
"J38","BOOMELE(Boom Precision Elec)","XH-5ABlue","true","Top","200.25","63.975","180"
"J39","BOOMELE(Boom Precision Elec)","XH-6A","true","Top","187","83.475","180"
"J40","Amphenol","10164227-1004A1RLF","true","Top","70","97.5","90"
"J41","Amphenol","10164227-1004A1RLF","true","Top","150","97.5","90"
"J42","Amphenol","10164227-1004A1RLF","true","Top","85","63.5","180"
"J43","Amphenol","10164227-1004A1RLF","true","Top","135","63.5","180"
"L1","SXN(Shun Xiang Nuo Elec)","SMNR4030-220MT","true","Top","24.05","22.85","-90"
"L2","COILANK INTERNATIONAL","AAPS0650M4R7H","true","Top","54.25","26.55","-90"
"L3","COILANK INTERNATIONAL","AAPS0650M4R7H","true","Top","39.7","26.55","-90"
"L4","SXN(Shun Xiang Nuo Elec)","SMNR4030-220MT","true","Top","42.9","49.6","0"
"L5","SXN(Shun Xiang Nuo Elec)","SMNR4030-220MT","true","Top","42.9","74.6","0"
"L6","TAI-TECH","FCM1608KF-601T03","true","Top","103.8","45.625","-89.99"
"LS1","INGHAi","GMD12095YB-5V2400","true","Top","87.5","52","135"
"Q1","Infineon Technologies","IRF7341TRPBF","true","Top","97.25","26.3","180"
"Q2","Infineon Technologies","IRF7341TRPBF","true","Top","83.9","39.55","-179.99"
"Q3","Infineon Technologies","IRF7341TRPBF","true","Top","75.9","39.55","-179.99"
"Q4","Infineon Technologies","IRF7341TRPBF","true","Top","67.9","39.55","-179.99"
"Q5","TOSHIBA","TK110P10PL,RQ(S2","true","Top","41.65","57.1","90"
"Q6","TOSHIBA","TK110P10PL,RQ(S2","true","Top","41.65","82.1","90"
"Q7","TOSHIBA","TK110P10PL,RQ(S2","true","Top","41.65","89.35","90"
"Q8","TOSHIBA","TK110P10PL,RQ(S2","true","Top","41.65","64.35","90"
"Q9","Vishay Intertech","SI1902CDL-T1-GE3","true","Top","110.5","45.3","0"
"Q10","onsemi","BSS138LT1G","true","Top","86.1","69.8","180"
"Q11","Vishay Intertech","SI1902CDL-T1-GE3","true","Top","153.25","69.75","-90"
"R1","Vishay Intertech","CRCW06030000Z0EAHP","true","Top","70","109.8","0"
"R2","Vishay Intertech","CRCW06030000Z0EAHP","true","Top","150","109.9","0"
"R3","Vishay Intertech","CRCW06030000Z0EAHP","true","Top","49.25","35.05","0"
"R4","Vishay Intertech","CRCW06030000Z0EAHP","true","Top","34.7","35.05","0"
"R5","YAGEO","RC0603FR-0733K2L","true","Top","49.25","36.55","180"
"R6","YAGEO","RC0603FR-0733K2L","true","Top","34.7","36.55","180"
"R7","YAGEO","RC0402FR-07174KL","true","Top","30.75","18.3","-90"
"R8","YAGEO","RC0402FR-0722K1L","true","Top","31.75","18.3","-90"
"R9","Vishay Intertech","CRCW06030000Z0EAHP","true","Top","58","36.55","90"
"R10","Vishay Intertech","CRCW06030000Z0EAHP","true","Top","43.45","36.55","90"
"R11","YAGEO","RC0603FR-07100KL","true","Top","51.25","41.05","180"
"R12","YAGEO","RT0603BRE0724K9L","true","Top","54.25","41.05","0"
"R13","YAGEO","RC0603FR-07100KL","true","Top","36.7","41.05","180"
"R14","YAGEO","RT0603BRE0724K9L","true","Top","39.7","41.05","0"
"R15","YAGEO","RT0603BRD071KL","true","Top","49","40.3","90"
"R16","YAGEO","RT0603BRD071KL","true","Top","34.45","40.3","90"
"R17","YAGEO","RT0603BRD071KL","true","Top","67","60.35","0"
"R18","YAGEO","RC0603FR-07330RL","true","Top","44.2","39.55","180"
"R19","YAGEO","RC0603FR-07330RL","true","Top","67","54.35","180"
"R20","YAGEO","RC0603FR-07330RL","true","Top","54.6","55.2","-90"
"R21","YAGEO","RC0603FR-07330RL","true","Top","58.75","39.55","180"
"R22","YAGEO","RC0603FR-07330RL","true","Top","54.55","80.15","-90"
"R23","YAGEO","RC0603FR-07510RL","true","Top","19.45","22.85","-90"
"R24","YAGEO","RC0603FR-07100KL","true","Top","49.25","38.05","180"
"R25","YAGEO","RC0603FR-07100KL","true","Top","34.7","38.05","180"
"R26","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","58.775","43.45","0"
"R27","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","true","Top","58.775","44.45","180"
"R28","Ever Ohms Tech","CR1812J33K0E04Z","true","Top","193.3","23.15","-90"
"R29","YAGEO","RC0603FR-0710KL","true","Top","99.5","31.55","-90"
"R30","YAGEO","RC0603FR-07330RL","true","Top","98","31.55","90"
"R31","YAGEO","RC0603FR-0710KL","true","Top","96.5","31.55","-90"
"R32","YAGEO","RC0603FR-07330RL","true","Top","95","31.55","90"
"R33","YAGEO","RC0402FR-07309KL","true","Top","39.9","52.1","-90"
"R34","YAGEO","RC0402FR-0722K1L","true","Top","38.9","52.1","-90"
"R35","YAGEO","RC0402FR-07309KL","true","Top","39.9","77.1","-90"
"R36","YAGEO","RC0402FR-0722K1L","true","Top","38.9","77.1","-90"
"R37","YAGEO","RC0603FR-0710KL","true","Top","79.785","47.295","-90"
"R38","YAGEO","RC0603FR-07330RL","true","Top","85.4","44.05","0.01"
"R39","YAGEO","RC0603FR-0710KL","true","Top","78.285","47.295","-90"
"R40","YAGEO","RC0603FR-07330RL","true","Top","82.4","44.05","0.01"
"R41","YAGEO","RC0603FR-0710KL","true","Top","76.385","47.295","-90"
"R42","YAGEO","RC0603FR-07330RL","true","Top","77.4","44.05","0.01"
"R43","YAGEO","RC0603FR-0710KL","true","Top","74.885","47.295","-90"
"R44","YAGEO","RC0603FR-07330RL","true","Top","74.4","44.05","0.01"
"R45","YAGEO","RC0603FR-0710KL","true","Top","53.1","58.45","-90"
"R46","YAGEO","RC0603FR-0710KL","true","Top","53.1","83.4","-90"
"R47","YAGEO","RC0603FR-0710KL","true","Top","72.985","47.295","-90"
"R48","YAGEO","RC0603FR-07330RL","true","Top","69.4","44.05","0.01"
"R49","YAGEO","RC0603FR-0710KL","true","Top","51.65","55.2","-90"
"R50","YAGEO","RC0603FR-0710KL","true","Top","51.65","80.15","-90"
"R51","YAGEO","RC0603FR-7W10KL","true","Top","48.75","55.2","90"
"R52","YAGEO","RC0603FR-7W10KL","true","Top","48.75","80.15","90"
"R53","YAGEO","RC0603FR-0710KL","true","Top","71.485","47.295","-90"
"R54","YAGEO","RC0603FR-07330RL","true","Top","66.4","44.05","0.01"
"R55","YAGEO","RC0603FR-0710KL","true","Top","53.1","65.7","-90"
"R56","YAGEO","RC0603FR-0710KL","true","Top","53.1","90.65","-90"
"R57","YAGEO","RC0603FR-0710KL","true","Top","51.65","87.4","-90"
"R58","YAGEO","RC0603FR-0710KL","true","Top","51.65","62.45","-90"
"R59","YAGEO","RC0603FR-7W10KL","true","Top","48.75","87.4","90"
"R60","YAGEO","RC0603FR-7W10KL","true","Top","48.75","62.45","90"
"R61","YAGEO","RT0603BRD071KL","true","Top","198.575","102.4","180"
"R62","YAGEO","RC0402FR-071K5L","true","Top","94","59.3","90"
"R63","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","98.7","59.3","90"
"R64","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","95.9","59.3","90"
"R65","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","96.8","59.3","-90"
"R66","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","94.95","59.3","90"
"R67","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","100.6","59.3","90"
"R68","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","99.65","59.3","90"
"R69","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","101.55","59.3","90"
"R70","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","95.25","55.75","180"
"R71","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","95.25","56.7","180"
"R72","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","198.45","97.85","90"
"R73","YAGEO","RC0402FR-0712K1L","true","Top","103.8","50","180"
"R74","YAGEO","RC0402FR-072K7L","true","Top","191.25","92.4","90"
"R75","YAGEO","RC0402FR-0749R9L","true","Top","101.75","45.875","0"
"R76","YAGEO","RC0402FR-0749R9L","true","Top","95.65","45.875","180"
"R77","YAGEO","RC0402FR-0749R9L","true","Top","101.75","47.875","0"
"R78","YAGEO","RC0402FR-0749R9L","true","Top","95.65","47.875","180"
"R79","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","124.15","39.95","-90"
"R80","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","111.13","39.95","-90"
"R81","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","103.8","51.25","180"
"R82","YAGEO","RC0402FR-0749R9L","true","Top","202.9","105.5","90"
