"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"1","C1, C2, C3, C7, C8, C201, C202","7","UMK325B7475MMHT","4.7uF 50V 1210 X7R 20%","CAP_1210_N","Taiyo Yuden","","","","","","","2"
"2","C4, C5, C9, C10","4","GRM155R71H223KA12D","22nF 50V 0402 X7R 20%","CAP_0402_N","Murata","","","","","","","2"
"3","C6, C15, C16, C203, C204","5","CAP_0603_N","100nF 63V 0603 X5R 10%","CAP_0603_N","","","","","","","","2"
"4","C11, C12","2","CAP_0603_N","1uF 16V 0603 X7R","CAP_0603_N","","","","","","","","2"
"5","C13, C14, C205, C206, C207, C208","6","CAP_0805_N","22uF 25V 0805 X5R","CAP_0805_N","","","","","","","","2"
"6","C17, C18","2","CAP_0603_N","22pF 16V 0603 C0G 5%","CAP_0603_N","","","","","","","","2"
"7","C19, C701, C702, C703, C709, C1102, C1108","7","CAP_0603_N","10uF 16V 0603 X5R 20%","CAP_0603_N","","","","","","","","2"
"8","C20, C209, C210, C213, C214, C215, C216, C229, C718, C901, C906, C907, C908, C909, C910, C911, C912, C913, C914","19","CAP_0603_N","100nF 16V 0603 X7R 10%","CAP_0603_N","Samsung","","","C66501","","","","2"
"9","C21, C22, C23, C24, C25, C26, C28, C29","8","CAP_1210","47uF 16V 1210 X7R","CAP_1210_N","","","","","","","","2"
"10","C27","1","CAPP_1206_N","22uF 16V 1206 TANTALUM 20%","CAPP_1206_N","","","","","","","","2"
"11","C30, C31, C32, C33","4","VKME1651J331MV","330uF 63V 20%","CAPAE1030X800L320X70N_AD2","Ymin","","","C487393","","","https://www.ymin.cn/chip-miniature-type-aluminum-electrolytic-capacitors-vkm-product/","2"
"12","C34, C706, C707, C708, C712, C713, C714, C719, C720, C1103, C1104, C1107","12","CAP_0402","100nF 6.3V 0402","RES_0402_202305","","","","","","","","2"
"13","C35, C38, C39","3","330uF 50V ±20%","","CAPPRD500W60D1050H2200","Nichicon","","","C2166065","","","https://www.lcsc.com/datasheet/C2166065.pdf","2"
"14","C36, C37","2","NEV220M63","","CAPPRD500W60D1050H2200","NTE","","","","","","http://datasheets.diptrace.com/nte/nev_neh.pdf","2"
"15","C40","1","CAP_1812_N","4.7nF 2kV 1812","CAP_1812_N","","","","","","","","2"
"16","C211, C212","2","CAP_1206_N","10uF 16V 1206 X7R","CAP_1206_N","","","","","","","","2"
"17","C217, C218, C223, C224","4","CAP_0402","100nF 25V 0402 X5R","RES_0402_202305","","","","","","","","2"
"18","C219, C220, C225, C226","4","CAP_0603_N","1uF 25V 0603 X5R","CAP_0603_N","","","","","","","","2"
"19","C221, C222, C227, C228","4","CAP_0603_N","1nF 25V 0603 X5R","CAP_0603_N","","","","","","","","2"
"20","C704","1","CAP_0402","470pF 6.3V 0402","RES_0402_202305","","","","","","","","2"
"21","C705","1","CAP_0402","1uF 6.3V 0402","RES_0402_202305","","","","","","","","2"
"22","C710, C711, C1106","3","CAP_0402","100nF 10V 0402","RES_0402_202305","","","","","","","","2"
"23","C715, C716","2","CAP_0402","4.7nF 100V 0402 X7R 10%","RES_0402_202305","","GRM155R72A472KA01D","","C415704","","","https://www.lcsc.com/datasheet/C415704.pdf","2"
"24","C717","1","CAP_0603_N","1uF 25V 0603 X7R 10%","CAP_0603_N","Samsung","","","C29936","","","","2"
"25","C801, C802, C803, C805, C806, C807, C808, C809, C810, C811, C812, C813, C814, C815, C816, C817, C818, C819, C820, C821","20","CAP_0603_N","10nF 6.3V 0603 X5R 20%","CAP_0603_N","","","","","","","","2"
"26","C804","1","CAP_0603_N","100nF 6.3V 0603 X5R 20%","CAP_0603_N","","","","","","","","2"
"27","C902, C903, C904, C905, C1101, C1105","6","CAP_0402","100nF 16V 0402","RES_0402_202305","","","","","","","","2"
"28","D1","1","LED 0603 GREEN","V5P0_B","LED_0603_WURTH","","","","","","","","2"
"29","D2","1","LED 0603 RED","V3P3_CPU","LED_0603_WURTH","","","","","","","","2"
"30","D3","1","LED 0603 GREEN","V5P0_ISOLATED_1","LED_0603_WURTH","","","","","","","","2"
"31","D4","1","LED 0603 GREEN","V5P0_A","LED_0603_WURTH","","","","","","","","2"
"32","D5","1","LED 0603 GREEN","V5P0_ISOLATED_2","LED_0603_WURTH","","","","","","","","2"
